N,nworkers,policy,tileSize,chunkSize,time,checksum
4000,10,1,4,1,3094.94,1790845
4000,10,1,8,1,5917.03,1790845
4000,12,1,1,1,4635.13,1790845
4000,12,1,4,1,2807.59,1790845
4000,12,1,8,1,5208.1,1790845
4000,14,1,1,1,3318.16,1790845
4000,14,1,4,1,5133.81,1790845
4000,14,1,8,1,2200.03,1790845
4000,16,1,1,1,5949.61,1790845
4000,16,1,4,1,4322.38,1790845
4000,16,1,8,1,2877.91,1790845
4000,24,1,1,1,4328.1,1790845
4000,24,1,4,1,3232.52,1790845
4000,24,1,8,1,2681.68,1790845
4000,32,1,1,1,6767.14,1790845
4000,32,1,4,1,2656.17,1790845
4000,32,1,8,1,4128.54,1790845
4000,1,2,1,1,40311.4,1790845
4000,1,2,4,1,27887.7,1790845
4000,1,2,8,1,25679.2,1790845
4000,2,2,1,1,21955.1,1790845
4000,2,2,4,1,14814.3,1790845
4000,2,2,8,1,12870.2,1790845
4000,4,2,1,1,11084.7,1790845
4000,4,2,4,1,15672,1790845
4000,4,2,8,1,6613.79,1790845
4000,6,2,1,1,12113.5,1790845
4000,6,2,4,1,5592.73,1790845
4000,6,2,8,1,9180.81,1790845
4000,8,2,1,1,7113.09,1790845
4000,8,2,4,1,7410.2,1790845
4000,8,2,8,1,3977.14,1790845
4000,10,2,1,1,5650.01,1790845
4000,10,2,4,1,3365.47,1790845
4000,10,2,8,1,2950.22,1790845
4000,12,2,1,1,4167.34,1790845
4000,12,2,4,1,3148.26,1790845
4000,12,2,8,1,2452.46,1790845
4000,14,2,1,1,5880.84,1790845
4000,14,2,4,1,2220.06,1790845
4000,14,2,8,1,4202.25,1790845
4000,16,2,1,1,3004.36,1790845
4000,16,2,4,1,3741.82,1790845
4000,16,2,8,1,2300.32,1790845
4000,24,2,1,1,3673.34,1790845
4000,24,2,4,1,2661.4,1790845
4000,24,2,8,1,2646.64,1790845
4000,32,2,1,1,3577.94,1790845
4000,32,2,4,1,2297.88,1790845
4000,32,2,8,1,3668.91,1790845
4000,1,3,1,32,38814.6,1790845
4000,1,3,1,64,39751.2,1790845
4000,1,3,1,128,39544.8,1790845
4000,1,3,4,32,27856.8,1790845
4000,1,3,4,64,27294.1,1790845
4000,1,3,4,128,27286.6,1790845
4000,1,3,8,32,26966,1790845
4000,1,3,8,64,25814.5,1790845
4000,1,3,8,128,26147.1,1790845
4000,2,3,1,32,40637.1,1790845
4000,2,3,1,64,39472.7,1790845
4000,2,3,1,128,27867.6,1790845
4000,2,3,4,32,14612.4,1790845
4000,2,3,4,64,24078.3,1790845
4000,2,3,4,128,25846.4,1790845
4000,2,3,8,32,21932.7,1790845
4000,2,3,8,64,12977.1,1790845
4000,2,3,8,128,28637.4,1790845
4000,4,3,1,32,11790.5,1790845
4000,4,3,1,64,12811.7,1790845
4000,4,3,1,128,14550.9,1790845
4000,4,3,4,32,8890.28,1790845
4000,4,3,4,64,13800.1,1790845
4000,4,3,4,128,9466.56,1790845
4000,4,3,8,32,7019.93,1790845
4000,4,3,8,64,12036.9,1790845
4000,4,3,8,128,11989.2,1790845
4000,6,3,1,32,9949.87,1790845
4000,6,3,1,64,9098.16,1790845
4000,6,3,1,128,12221.3,1790845
4000,6,3,4,32,10471.5,1790845
4000,6,3,4,64,6326.6,1790845
4000,6,3,4,128,6794.67,1790845
4000,6,3,8,32,9932.54,1790845
4000,6,3,8,64,8780.97,1790845
4000,6,3,8,128,9399.58,1790845
4000,8,3,1,32,13975.9,1790845
4000,8,3,1,64,13824.1,1790845
