N,nworkers,policy,tileSize,chunkSize,time
4000,14,3,4,128,4028.5
4000,14,3,8,32,4025.64
4000,14,3,8,64,4025.06
4000,14,3,8,128,4047.25
4000,14,3,16,32,4202.5
4000,14,3,16,64,4196.66
4000,14,3,16,128,4206.13
4000,16,1,1,1,3835.46
4000,16,1,4,1,3525.86
4000,16,1,8,1,3572.44
4000,16,1,16,1,3717.32
4000,16,2,1,1,3810.09
4000,16,2,4,1,3577.4
4000,16,2,8,1,3585.64
4000,16,2,16,1,3748.18
4000,16,3,1,32,3861.98
4000,16,3,1,64,3836.39
4000,16,3,1,128,3817.32
4000,16,3,4,32,3594.82
4000,16,3,4,64,3546.17
4000,16,3,4,128,3586.61
4000,16,3,8,32,3598.19
4000,16,3,8,64,3573.6
4000,16,3,8,128,3569.37
4000,16,3,16,32,3759.8
4000,16,3,16,64,3765.96
4000,16,3,16,128,3729.52
6000,1,0,1,1,251744
6000,2,1,1,1,122161
6000,2,1,4,1,122184
6000,2,1,8,1,121750
6000,2,1,16,1,121131
6000,2,2,1,1,126333
6000,2,2,4,1,122881
6000,2,2,8,1,122211
6000,2,2,16,1,121184
6000,2,3,1,32,122391
6000,2,3,1,64,123714
6000,2,3,1,128,123854
6000,2,3,4,32,121659
6000,2,3,4,64,121093
6000,2,3,4,128,122129
6000,2,3,8,32,121549
6000,2,3,8,64,121305
6000,2,3,8,128,121191
6000,2,3,16,32,122238
6000,2,3,16,64,122275
6000,2,3,16,128,122601
6000,4,1,1,1,64633.5
6000,4,1,4,1,61800.8
6000,4,1,8,1,61028.5
6000,4,1,16,1,61575.4
6000,4,2,1,1,62855.9
6000,4,2,4,1,61476.4
6000,4,2,8,1,63099.5
6000,4,2,16,1,61487.2
6000,4,3,1,32,66707.8
6000,4,3,1,64,64918.6
6000,4,3,1,128,64139.8
6000,4,3,4,32,61885.2
6000,4,3,4,64,61885.7
6000,4,3,4,128,63849.3
6000,4,3,8,32,65968.6
6000,4,3,8,64,61398.4
6000,4,3,8,128,60941.3
6000,4,3,16,32,60968.7
6000,4,3,16,64,61303.8
6000,4,3,16,128,61644.1
6000,6,1,1,1,44069.7
6000,6,1,4,1,41690.6
6000,6,1,8,1,41541.8
6000,6,1,16,1,41769
6000,6,2,1,1,43503.6
6000,6,2,4,1,41357.7
6000,6,2,8,1,40917.7
6000,6,2,16,1,41533.7
6000,6,3,1,32,44283.4
6000,6,3,1,64,43917.2
6000,6,3,1,128,44168.6
6000,6,3,4,32,42350.1
6000,6,3,4,64,41181.8
6000,6,3,4,128,41063.5
6000,6,3,8,32,40845.5
6000,6,3,8,64,41409.5
6000,6,3,8,128,41259.4
6000,6,3,16,32,41704.4
6000,6,3,16,64,41583.4
6000,6,3,16,128,42046.3
6000,8,1,1,1,32651.8
6000,8,1,4,1,31084.6
6000,8,1,8,1,31145.7
6000,8,1,16,1,31556.4
6000,8,2,1,1,33426.9
6000,8,2,4,1,31285.1
6000,8,2,8,1,31270.7
6000,8,2,16,1,31878.5
6000,8,3,1,32,32476.4
6000,8,3,1,64,32964.3
6000,8,3,1,128,34980.3
